Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
738,5,12,2019,Thursday,0,Autumn,1,17848.1935483871
1528,6,12,2019,Friday,0,Autumn,1,17848.1935483871
1476,8,12,2019,Sunday,0,Autumn,1,17848.1935483871
670,9,12,2019,Monday,0,Autumn,1,17848.1935483871
604,10,12,2019,Tuesday,0,Autumn,1,17848.1935483871
589,11,12,2019,Wednesday,0,Autumn,1,17848.1935483871
421,12,12,2019,Thursday,0,Autumn,1,17848.1935483871
920,13,12,2019,Friday,0,Autumn,1,17848.1935483871
1710,14,12,2019,Saturday,0,Autumn,1,17848.1935483871
850,15,12,2019,Sunday,0,Autumn,1,17848.1935483871
402,16,12,2019,Monday,0,Autumn,1,17848.1935483871
715,17,12,2019,Tuesday,0,Autumn,1,17848.1935483871
526,18,12,2019,Wednesday,0,Autumn,1,17848.1935483871
248,19,12,2019,Thursday,0,Autumn,1,17848.1935483871
547,20,12,2019,Friday,0,Autumn,1,17848.1935483871
1208,21,12,2019,Saturday,0,Winter,1,17848.1935483871
1586,23,12,2019,Monday,0,Winter,1,17848.1935483871
1064,24,12,2019,Tuesday,0,Winter,1,17848.1935483871
1599,31,12,2019,Tuesday,0,Winter,1,17848.1935483871
1558,5,1,2020,Sunday,0,Winter,1,16485.1935483871
931,6,1,2020,Monday,0,Winter,1,16485.1935483871
783,7,1,2020,Tuesday,0,Winter,1,16485.1935483871
756,8,1,2020,Wednesday,0,Winter,1,16485.1935483871
641,9,1,2020,Thursday,0,Winter,1,16485.1935483871
830,10,1,2020,Friday,0,Winter,1,16485.1935483871
1257,11,1,2020,Saturday,0,Winter,1,16485.1935483871
884,12,1,2020,Sunday,0,Winter,1,16485.1935483871
724,13,1,2020,Monday,0,Winter,1,16485.1935483871
437,14,1,2020,Tuesday,0,Winter,1,16485.1935483871
551,15,1,2020,Wednesday,0,Winter,1,16485.1935483871
505,16,1,2020,Thursday,0,Winter,1,16485.1935483871
763,17,1,2020,Friday,0,Winter,1,16485.1935483871
1100,18,1,2020,Saturday,0,Winter,1,16485.1935483871
945,19,1,2020,Sunday,0,Winter,1,16485.1935483871
628,20,1,2020,Monday,0,Winter,1,16485.1935483871
531,21,1,2020,Tuesday,0,Winter,1,16485.1935483871
614,22,1,2020,Wednesday,0,Winter,1,16485.1935483871
676,23,1,2020,Thursday,0,Winter,1,16485.1935483871
658,24,1,2020,Friday,0,Winter,1,16485.1935483871
1139,25,1,2020,Saturday,0,Winter,1,16485.1935483871
728,26,1,2020,Sunday,0,Winter,1,16485.1935483871
623,27,1,2020,Monday,0,Winter,1,16485.1935483871
666,28,1,2020,Tuesday,0,Winter,1,16485.1935483871
855,29,1,2020,Wednesday,0,Winter,1,16485.1935483871
469,30,1,2020,Thursday,0,Winter,1,16485.1935483871
628,31,1,2020,Friday,0,Winter,1,16485.1935483871
1042,1,2,2020,Saturday,0,Winter,0,18125.071428571428
872,2,2,2020,Sunday,0,Winter,0,18125.071428571428
726,3,2,2020,Monday,0,Winter,0,18125.071428571428
657,4,2,2020,Tuesday,0,Winter,0,18125.071428571428
656,5,2,2020,Wednesday,0,Winter,0,18125.071428571428
619,6,2,2020,Thursday,0,Winter,0,18125.071428571428
788,7,2,2020,Friday,0,Winter,0,18125.071428571428
