Ano,Mes,Dia,Visitantes,COVID
2022,3,13,372,1
2022,3,14,442,1
2022,3,15,321,1
2022,3,16,331,1
2022,3,17,330,1
2022,3,18,299,1
2022,3,19,663,1
2022,3,20,265,1
2022,3,21,321,1
2022,3,22,280,1
2022,3,23,246,1
2022,3,24,381,1
2022,3,25,392,1
2022,3,26,509,1
2022,3,27,315,1
2022,3,28,403,1
2022,3,29,324,1
2022,3,30,360,1
2022,3,31,475,1
2022,4,1,512,1
2022,4,2,619,1
2022,4,3,514,1
2022,4,4,528,1
2022,4,5,573,1
2022,4,6,362,1
2022,4,7,464,1
2022,4,8,530,1
2022,4,9,696,1
2022,4,10,536,1
2022,4,11,778,1
2022,4,12,740,1
2022,4,13,692,1
2022,4,14,863,1
2022,4,15,791,1
2022,4,16,934,1
2022,4,17,752,1
2022,4,18,629,1
2022,4,19,641,1
2022,4,20,530,1
2022,4,21,650,1
2022,4,22,517,1
2022,4,23,757,1
2022,4,24,684,1
2022,4,25,650,1
2022,4,26,618,1
2022,4,27,558,1
2022,4,28,568,1
2022,4,29,515,1
2022,4,30,671,1
2022,5,1,688,1
2022,5,2,682,1
2022,5,3,533,1
2022,5,4,459,1
2022,5,5,441,1
2022,5,6,545,1
2022,5,7,709,1
2022,5,8,436,1
2022,5,9,427,1
2022,5,10,444,1
2022,5,11,351,1
2022,5,12,424,1
2022,5,13,457,1
2022,5,14,617,1
2022,5,15,556,1
2022,5,16,550,1
2022,5,17,418,1
2022,5,18,405,1
2022,5,19,437,1
2022,5,20,466,1
2022,5,21,706,1
2022,5,22,602,1
2022,5,23,601,1
2022,5,24,556,1
2022,5,25,581,1
2022,5,26,548,1
2022,5,27,570,1
2022,5,28,750,1
2022,5,29,566,1
2022,5,30,597,1
2022,5,31,413,1
2022,6,1,514,1
2022,6,2,450,1
2022,6,3,580,1
2022,6,4,679,1
2022,6,5,611,1
2022,6,6,560,1
2022,6,7,393,1
2022,6,8,524,1
2022,6,9,469,1
2022,6,10,567,1
2022,6,11,568,1
2022,6,12,372,1
2022,6,13,600,1
2022,6,14,481,1
2022,6,15,537,1
2022,6,16,828,1
2022,6,17,647,1
2022,6,18,728,1
2022,6,19,567,1
2022,6,20,572,1
2022,6,21,603,1
2022,6,22,584,1
2022,6,23,532,1
2022,6,24,687,1
2022,6,25,952,1
2022,6,26,1003,1
2022,6,27,824,1
2022,6,28,717,1
2022,6,29,728,1
2022,6,30,700,1
2022,7,1,760,1
2022,7,2,854,1
2022,7,3,680,1
2022,7,4,759,1
2022,7,5,809,1
2022,7,6,784,1
2022,7,7,458,1
2022,7,8,0,1
2022,7,9,0,1
2022,7,10,0,1
2022,7,11,889,1
2022,7,12,700,1
2022,7,13,723,1
2022,7,14,820,1
2022,7,15,788,1
2022,7,16,809,1
2022,7,17,825,1
2022,7,18,1018,1
2022,7,19,861,1
2022,7,20,834,1
2022,7,21,896,1
2022,7,22,889,1
2022,7,23,948,1
2022,7,24,787,1
2022,7,25,871,1
2022,7,26,1078,1
2022,7,27,1103,1
2022,7,28,864,1
2022,7,29,879,1
2022,7,30,964,1
2022,7,31,861,1
2022,8,1,1101,1
2022,8,2,1111,1
2022,8,3,1061,1
2022,8,4,1342,1
2022,8,5,1066,1
